0,553992.6177,627744.881,598464.4355
1000,77999.88339,140141.6053,119900.1009
2000,46041.91858,45831.0645,71727.01786
3000,12968.14993,19517.4811,15970.40689
4000,10522.21774,9495.811914,10852.25613
5000,4424.062821,2905.757272,4224.239145
6000,1461.271488,2044.551444,1320.750526
7000,854.7928411,754.1785458,712.0042899
8000,160.3317312,360.68053,218.9140362
9000,114.5518535,185.1204664,123.2509131
10000,37.1843209,66.53003983,51.96507542
11000,25.86230858,23.53893721,21.23473066
12000,8.236120196,13.37119077,11.5413927
13000,3.790101746,7.39371973,5.292614821
14000,2.215674157,5.825357078,3.177945932
15000,1.049718156,5.724677053,2.496015107
16000,0.669329537,4.686780479,1.992864991
17000,0.431292399,4.376636083,1.607381518
18000,0.323899312,3.817022244,1.362097839
19000,0.237772084,3.358679731,1.168218274
20000,0.118015349,2.66827408,1.00834088
21000,0.069534359,1.979531276,0.781683513
22000,0.02910866,1.474676269,0.678356896
23000,0.018496038,1.146486152,0.599549589
24000,0.011674226,0.825753367,0.540184362
25000,0.007018028,0.645770972,0.417019411
26000,0.004109608,0.515209899,0.390734088
27000,0.003006777,0.422177472,0.347779918
28000,0.002103635,0.340578127,0.295942087
29000,0.001513965,0.268019606,0.25136026
30000,0.001132125,0.234402451,0.215188582
31000,8.25E-04,0.195571568,0.178715446
32000,5.59E-04,0.180202451,0.162693987
33000,4.97E-04,0.166592034,0.145034268
34000,3.52E-04,0.14659532,0.134424481
35000,2.39E-04,0.130920253,0.121965539
36000,1.77E-04,0.117472736,0.114406667
37000,1.35E-04,0.111409897,0.104089472
38000,1.07E-04,0.102109939,0.091650589
39000,8.97E-05,0.096062314,0.081559392
40000,7.41E-05,0.091795093,0.07093765
41000,5.99E-05,0.087137108,0.062397271
42000,5.25E-05,0.083266957,0.055681322
43000,4.09E-05,0.081294253,0.052636683
44000,3.66E-05,0.078469724,0.048803947
45000,2.82E-05,0.073830553,0.045539753
46000,2.59E-05,0.068897828,0.043310874
47000,2.26E-05,0.067043235,0.041475201
48000,1.84E-05,0.064994361,0.040311161
49000,1.60E-05,0.062734319,0.038861424
50000,1.33E-05,0.061000921,0.037256615
51000,1.19E-05,0.059198387,0.036168737
52000,1.10E-05,0.056714307,0.035105128
53000,9.87E-06,0.055949828,0.0343137
